city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Er Rachidia,Er Rachidia,31.9404,-4.45,Morocco,MA,MAR,Drâa-Tafilalet,,228489,1504005759
Gusau,Gusau,12.1704,6.66,Nigeria,NG,NGA,Zamfara,admin,226857,1566383682
Sikasso,Sikasso,11.3204,-5.68,Mali,ML,MLI,Sikasso,admin,225753,1466666150
Mubi,Mubi,10.2703,13.27,Nigeria,NG,NGA,Adamawa,minor,225705,1566265170
Nyanza,Nyanza,-2.3496,29.74,Rwanda,RW,RWA,Southern Province,admin,225209,1646257566
Tanga,Tanga,-5.07,39.09,Tanzania,TZ,TZA,Tanga,admin,224876,1834004568
Nacala,Nacala,-14.5186,40.715,Mozambique,MZ,MOZ,Nampula,,224795,1508752825
Nicosia,Nicosia,35.1667,33.3666,Cyprus,CY,CYP,Lefkosía,primary,224300,1196944155
Gueckedou,Gueckedou,8.554,-10.151,Guinea,GN,GIN,N’Zérékoré,minor,221715,1324580681
Polokwane,Polokwane,-23.89,29.45,South Africa,ZA,ZAF,Limpopo,admin,220045,1710908010
Gabès,Gabes,33.9004,10.1,Tunisia,TN,TUN,Gabès,admin,219517,1788064276
Dodoma,Dodoma,-6.1833,35.75,Tanzania,TZ,TZA,,primary,218269,1834288497
Bertoua,Bertoua,4.5804,13.68,Cameroon,CM,CMR,Est,admin,218111,1120406967
Mallawi,Mallawi,27.7304,30.84,Egypt,EG,EGY,Al Minyā,,217365,1818284236
Owerri,Owerri,5.493,7.026,Nigeria,NG,NGA,Imo,admin,215038,1566679132
Limbe,Limbe,4.0304,9.19,Cameroon,CM,CMR,South-West,,212474,1120635273
San-Pedro,San-Pedro,4.7704,-6.64,Côte D’Ivoire,CI,CIV,Bas-Sassandra,admin,210273,1384436547
Toamasina,Toamasina,-18.1818,49.405,Madagascar,MG,MDG,Toamasina,admin,210226,1450540529
Ijebu Ode,Ijebu Ode,6.8204,3.92,Nigeria,NG,NGA,Ogun,minor,209175,1566495747
Tema,Tema,5.6404,0.01,Ghana,GH,GHA,Greater Accra,,209000,1288205885
Sidi bel Abbes,Sidi bel Abbes,35.1903,-0.64,Algeria,DZ,DZA,Sidi Bel Abbès,admin,208604,1012123414
Gaborone,Gaborone,-24.6463,25.9119,Botswana,BW,BWA,Gaborone,primary,208411,1072756768
Lobito,Lobito,-12.37,13.5412,Angola,AO,AGO,Benguela,,207932,1024128946
Bahir Dar,Bahir Dar,11.6001,37.3833,Ethiopia,ET,ETH,Āmara,admin,206748,1231784118
Yamoussoukro,Yamoussoukro,6.8184,-5.2755,Côte D’Ivoire,CI,CIV,Yamoussoukro,primary,206499,1384683557
Kalemie,Kalemie,-5.9333,29.2,Congo (Kinshasa),CD,COD,Tanganyika,admin,206257,1180574233
Funchal,Funchal,32.65,-16.88,Portugal,PT,PRT,Madeira,admin,204767,1620995356
Edéa,Edea,3.8005,10.12,Cameroon,CM,CMR,Littoral,,203149,1120546542
Djougou,Djougou,9.7004,1.68,Benin,BJ,BEN,Donga,admin,202810,1204972666
Biskra,Biskra,34.86,5.73,Algeria,DZ,DZA,Biskra,admin,202103,1012947247
Al Khums,Al Khums,32.6604,14.26,Libya,LY,LBY,Al Marqab,admin,201943,1434348717
Gedaref,Gedaref,14.04,35.38,Sudan,SD,SDN,Al Gedaref,admin,201282,1729215057
Az Zawiyah,Az Zawiyah,32.7604,12.72,Libya,LY,LBY,Az Zāwiyah,admin,200000,1434421178
Nema,Nema,16.6171,-7.25,Mauritania,MR,MRT,Hodh ech Chargui,admin,200000,1478009046
Kasama,Kasama,-10.1996,31.1799,Zambia,ZM,ZMB,Northern,admin,200000,1894305215
Taza,Taza,34.2204,-4.02,Morocco,MA,MAR,Fès-Meknès,,199633,1504405154
Rashid,Rashid,31.4604,30.39,Egypt,EG,EGY,Al Buḩayrah,,199509,1818868679
Gemena,Gemena,3.26,19.77,Congo (Kinshasa),CD,COD,Sud-Ubangi,admin,198056,1180000163
Mbanza-Ngungu,Mbanza-Ngungu,-5.2496,14.86,Congo (Kinshasa),CD,COD,Kongo Central,,197545,1180474388
Brikama,Brikama,13.2804,-16.6599,"Gambia, The",GM,GMB,Western,admin,195136,1270953861
Bongor,Bongor,10.2859,15.3872,Chad,TD,TCD,Mayo-Kébbi Est,admin,193941,1148833900
Ziguinchor,Ziguinchor,12.59,-16.29,Senegal,SN,SEN,Ziguinchor,admin,191716,1686273643
Mwene-Ditu,Mwene-Ditu,-7,23.44,Congo (Kinshasa),CD,COD,Lomami,,189177,1180134137
Kabwe,Kabwe,-14.44,28.45,Zambia,ZM,ZMB,Central,admin,188979,1894711746
Quelimane,Quelimane,-17.88,36.89,Mozambique,MZ,MOZ,Zambézia,admin,188964,1508396687
Parakou,Parakou,9.34,2.62,Benin,BJ,BEN,Borgou,admin,188853,1204807468
Mostaganem,Mostaganem,35.9404,0.09,Algeria,DZ,DZA,Mostaganem,admin,188354,1012061703
Paarl,Paarl,-33.6996,18.96,South Africa,ZA,ZAF,Western Cape,,187865,1710440011
Gibraltar,Gibraltar,36.1324,-5.3781,Gibraltar,GI,GIB,,primary,187083,1292385245
Shendi,Shendi,16.6805,33.42,Sudan,SD,SDN,River Nile,,186611,1729244380
Ad Damazīn,Ad Damazin,11.7704,34.35,Sudan,SD,SDN,Blue Nile,admin,186051,1729684147
Jamaame,Jamaame,0.0722,42.7506,Somalia,SO,SOM,Jubbada Hoose,,185270,1706288768
Yei,Yei,4.0904,30.68,South Sudan,SS,SSD,Central Equatoria,,185000,1728607274
Tiarat,Tiarat,35.3804,1.32,Algeria,DZ,DZA,Tiaret,admin,184195,1012785868
Fianarantsoa,Fianarantsoa,-21.4333,47.0833,Madagascar,MG,MDG,Fianarantsoa,admin,184184,1450070223
Dese,Dese,11.13,39.63,Ethiopia,ET,ETH,Āmara,,183802,1231359719
Gweru,Gweru,-19.45,29.82,Zimbabwe,ZW,ZWE,Midlands,admin,183358,1716621481
Shibin el Kom,Shibin el Kom,30.592,30.9,Egypt,EG,EGY,Al Minūfīyah,admin,182900,1818787044
Chingola,Chingola,-12.5396,27.85,Zambia,ZM,ZMB,Copperbelt,,182015,1894202007
Funtua,Funtua,11.5204,7.32,Nigeria,NG,NGA,Katsina,minor,180475,1566877863
El Jadida,El Jadida,33.2604,-8.51,Morocco,MA,MAR,Casablanca-Settat,,180470,1504964063
Zuwarah,Zuwarah,32.9344,12.0791,Libya,LY,LBY,An Nuqāţ al Khams,admin,180310,1434206265
Obuasi,Obuasi,6.1904,-1.66,Ghana,GH,GHA,Ashanti,,180117,1288615192
Klerksdorp,Klerksdorp,-26.88,26.62,South Africa,ZA,ZAF,North West,,178921,1710416691
El Arish,El Arish,31.1249,33.8006,Egypt,EG,EGY,Shamāl Sīnā’,admin,178651,1818291145
Boma,Boma,-5.83,13.05,Congo (Kinshasa),CD,COD,Kongo Central,,178638,1180611452
Korhogo,Korhogo,9.46,-5.64,Côte D’Ivoire,CI,CIV,Savanes,admin,177711,1384205840
Ar Raqqah,Ar Raqqah,35.9304,39.02,Syria,SY,SYR,Ar Raqqah,admin,177636,1760035911
El Oued,El Oued,33.3704,6.86,Algeria,DZ,DZA,El Oued,admin,177497,1012148937
Kadugli,Kadugli,11.01,29.7,Sudan,SD,SDN,South Kordofan,admin,176931,1729757472
Ouargla,Ouargla,31.97,5.34,Algeria,DZ,DZA,Ouargla,admin,176271,1012425687
Entebbe,Entebbe,0.0604,32.46,Uganda,UG,UGA,Wakiso,,175128,1800535915
Harar,Harar,9.32,42.15,Ethiopia,ET,ETH,Hārerī Hizb,admin,174994,1231785978
George,George,-33.95,22.45,South Africa,ZA,ZAF,Western Cape,,174582,1710164136
Bo,Bo,7.97,-11.74,Sierra Leone,SL,SLE,Southern,admin,174354,1694651111
Bida,Bida,9.0804,6.01,Nigeria,NG,NGA,Niger,minor,173849,1566468363
Bata,Bata,1.87,9.77,Equatorial Guinea,GQ,GNQ,Litoral,admin,173046,1226528087
Tébessa,Tebessa,35.4104,8.12,Algeria,DZ,DZA,Tébessa,admin,171742,1012196375
Djelfa,Djelfa,34.68,3.25,Algeria,DZ,DZA,Djelfa,admin,170901,1012268984
Uvira,Uvira,-3.37,29.14,Congo (Kinshasa),CD,COD,Sud-Kivu,,170391,1180205443
Al Marj,Al Marj,32.5005,20.83,Libya,LY,LBY,Al Marj,admin,169540,1434742923
Sarh,Sarh,9.15,18.39,Chad,TD,TCD,Moyen-Chari,admin,169196,1148442794
Atbara,Atbara,17.71,33.98,Sudan,SD,SDN,River Nile,,168612,1729042522
Nzérékoré,Nzerekore,7.76,-8.83,Guinea,GN,GIN,N’Zérékoré,admin,168121,1324336588
Benha,Benha,30.4667,31.1833,Egypt,EG,EGY,Al Qalyūbīyah,admin,167029,1818596265
Rustenburg,Rustenburg,-25.65,27.24,South Africa,ZA,ZAF,North West,,165976,1710326039
Livingstone,Livingstone,-17.86,25.86,Zambia,ZM,ZMB,Southern,,165480,1894634581
Kimberley,Kimberley,-28.7468,24.77,South Africa,ZA,ZAF,Northern Cape,admin,165264,1710282622
Kigoma,Kigoma,-4.8796,29.61,Tanzania,TZ,TZA,Kigoma,admin,164268,1834583327
Geneina,Geneina,13.45,22.44,Sudan,SD,SDN,West Darfur,admin,162981,1729642412
Tartus,Tartus,34.8846,35.8866,Syria,SY,SYR,Ţarţūs,admin,162980,1760695473
Settat,Settat,33.0104,-7.62,Morocco,MA,MAR,Casablanca-Settat,,161748,1504720478
Bhisho,Bhisho,-32.87,27.39,South Africa,ZA,ZAF,Eastern Cape,admin,160997,1710672530
Malakal,Malakal,9.5369,31.656,South Sudan,SS,SSD,Upper Nile,admin,160765,1728299711
Bumba,Bumba,2.19,22.46,Congo (Kinshasa),CD,COD,Mongala,,160539,1180549980
Zarzis,Zarzis,33.5104,11.1,Tunisia,TN,TUN,Médenine,,159161,1788933524
Abéché,Abeche,13.84,20.83,Chad,TD,TCD,Ouaddaï,admin,158317,1148461151
Hurghada,Hurghada,27.23,33.83,Egypt,EG,EGY,Al Baḩr al Aḩmar,admin,157204,1818666245
Isiro,Isiro,2.76,27.62,Congo (Kinshasa),CD,COD,Haut-Uélé,admin,157196,1180183850
Moundou,Moundou,8.55,16.09,Chad,TD,TCD,Logone Occidental,admin,156705,1148369114
Koforidua,Koforidua,6.0904,-0.26,Ghana,GH,GHA,Eastern,admin,156653,1288961962
Gondar,Gonder,12.61,37.46,Ethiopia,ET,ETH,Āmara,,156230,1231234833
Malabo,Malabo,3.75,8.7833,Equatorial Guinea,GQ,GNQ,Bioko Norte,primary,155963,1226861333
Middelburg,Middelburg,-25.7596,29.47,South Africa,ZA,ZAF,Mpumalanga,,154706,1710495632
Mahajanga,Mahajanga,-15.67,46.345,Madagascar,MG,MDG,Mahajanga,admin,154657,1450421961
Gandajika,Gandajika,-6.7396,23.96,Congo (Kinshasa),CD,COD,Lomami,,154425,1180466776
Lemosos,Lemosos,34.6754,33.0333,Cyprus,CY,CYP,Lemesós,admin,154000,1196136222
Moanda,Moanda,-5.9229,12.355,Congo (Kinshasa),CD,COD,Kongo Central,,153915,1180108441
Mufulira,Mufulira,-12.55,28.26,Zambia,ZM,ZMB,Copperbelt,,153624,1894907880
Samalut,Samalut,28.3004,30.71,Egypt,EG,EGY,Al Minyā,,152097,1818180512
Luanshya,Luanshya,-13.1333,28.4,Zambia,ZM,ZMB,Copperbelt,,151993,1894410334
El Manaqil,El Manaqil,14.2504,32.98,Sudan,SD,SDN,Al Gazira,,151827,1729742500
Benguela,Benguela,-12.5783,13.4072,Angola,AO,AGO,Benguela,admin,151226,1024141961
Kitale,Kitale,1.0305,34.9899,Kenya,KE,KEN,Trans Nzoia,admin,150495,1404890081
Vryheid,Vryheid,-27.76,30.79,South Africa,ZA,ZAF,KwaZulu-Natal,,150012,1710716158
M'sila,M'sila,35.7,4.545,Algeria,DZ,DZA,M’sila,admin,150000,1012857730
Keren,Keren,15.6804,38.45,Eritrea,ER,ERI,Ānseba,admin,150000,1232693598
Tororo,Tororo,0.7104,34.17,Uganda,UG,UGA,Tororo,admin,150000,1800214991
Diourbel,Diourbel,14.6604,-16.24,Senegal,SN,SEN,Diourbel,admin,148024,1686087214
Jijel,Jijel,36.822,5.766,Algeria,DZ,DZA,Jijel,admin,148000,1012782547
Médéa,Medea,36.2704,2.77,Algeria,DZ,DZA,Médéa,admin,147707,1012758282
Man,Man,7.4004,-7.55,Côte D’Ivoire,CI,CIV,Montagnes,admin,146974,1384112524
Wamba,Wamba,2.1404,27.99,Congo (Kinshasa),CD,COD,Haut-Uélé,,146871,1180866253
Gulu,Gulu,2.78,32.28,Uganda,UG,UGA,Gulu,admin,146858,1800406007
Gharyan,Gharyan,32.1704,13.02,Libya,LY,LBY,Al Jabal al Gharbī,admin,146810,1434507846
Tabora,Tabora,-5.02,32.8,Tanzania,TZ,TZA,Tabora,admin,146495,1834712235
Dar'a,Dar'a,32.625,36.105,Syria,SY,SYR,Dar‘ā,admin,146481,1760427038
Machakos,Machakos,-1.5095,37.26,Kenya,KE,KEN,Machakos,admin,144925,1404746781
Qairouan,Qairouan,35.6804,10.1,Tunisia,TN,TUN,Kairouan,admin,144522,1788844707
Kumba,Kumba,4.6404,9.44,Cameroon,CM,CMR,South-West,,144413,1120492761
Goma,Goma,-1.6788,29.2218,Congo (Kinshasa),CD,COD,Nord-Kivu,admin,144124,1180805022
Tizi-Ouzou,Tizi-Ouzou,36.8,4.0333,Algeria,DZ,DZA,Tizi Ouzou,admin,144000,1012126997
Kafr el Sheikh,Kafr el Sheikh,31.109,30.936,Egypt,EG,EGY,Kafr ash Shaykh,admin,143970,1818743040
Ajdabiya,Ajdabiya,30.77,20.22,Libya,LY,LBY,Al Wāḩāt,admin,143833,1434401280
Béchar,Bechar,31.6111,-2.23,Algeria,DZ,DZA,Béchar,admin,143382,1012371820
Kenema,Kenema,7.8804,-11.19,Sierra Leone,SL,SLE,Eastern,admin,143137,1694780903
Cape Coast,Cape Coast,5.1104,-1.25,Ghana,GH,GHA,Central,admin,143015,1288506097
Massawa,Massawa,15.6101,39.45,Eritrea,ER,ERI,Semēnawī K’eyih Bahrī,admin,142564,1232344222
Saïda,Saida,34.8404,0.14,Algeria,DZ,DZA,Saïda,admin,142213,1012285874
Labé,Labe,11.32,-12.3,Guinea,GN,GIN,Labé,admin,140575,1324900784
Bordj Bou Arréridj,Bordj Bou Arreridj,36.059,4.63,Algeria,DZ,DZA,Bordj Bou Arréridj,admin,140000,1012016677
Umtata,Umtata,-31.58,28.79,South Africa,ZA,ZAF,Eastern Cape,,137772,1710651314
Iraklio,Iraklio,35.325,25.1305,Greece,GR,GRC,Kríti,admin,137154,1300777854
Lira,Lira,2.2604,32.89,Uganda,UG,UGA,Lira,admin,135445,1800877735
Souk Ahras,Souk Ahras,36.2904,7.95,Algeria,DZ,DZA,Souk Ahras,admin,134947,1012419619
Touggourt,Touggourt,33.1,6.06,Algeria,DZ,DZA,Ouargla,,133954,1012546670
Musoma,Musoma,-1.4896,33.8,Tanzania,TZ,TZA,Mara,admin,133156,1834100025
Awasa,Awasa,7.06,38.477,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,admin,133097,1231663122
Namibe,Namibe,-15.19,12.16,Angola,AO,AGO,Namibe,admin,132900,1024785067
Sennar,Sennar,13.55,33.6,Sudan,SD,SDN,Sennar,,130122,1729986512
Baydhabo,Baydhabo,3.12,43.65,Somalia,SO,SOM,Bay,admin,129839,1706563100
Tete,Tete,-16.17,33.58,Mozambique,MZ,MOZ,Tete,admin,129316,1508476900
Idlib,Idlib,35.9297,36.6317,Syria,SY,SYR,Idlib,admin,128840,1760305230
Xai-Xai,Xai-Xai,-25.04,33.64,Mozambique,MZ,MOZ,Gaza,admin,128805,1508689070
Kamina,Kamina,-8.73,25.01,Congo (Kinshasa),CD,COD,Haut-Lomami,admin,128803,1180363197
Moroni,Moroni,-11.7042,43.2402,Comoros,KM,COM,Grande Comore,primary,128698,1174793581
Jima,Jima,7.68,36.83,Ethiopia,ET,ETH,Oromīya,,128306,1231214366
Girga,Girga,26.3304,31.88,Egypt,EG,EGY,Sūhāj,,128250,1818327836
Surt,Surt,31.21,16.59,Libya,LY,LBY,Surt,admin,128123,1434563640
Al Hasakah,Al Hasakah,36.4833,40.75,Syria,SY,SYR,Al Ḩasakah,admin,128100,1760476337
Darnah,Darnah,32.7648,22.6391,Libya,LY,LBY,Darnah,admin,127974,1434920152
Divo,Divo,5.839,-5.36,Côte D’Ivoire,CI,CIV,Gôh-Djiboua,minor,127867,1384831436
Worcester,Worcester,-33.64,19.4399,South Africa,ZA,ZAF,Western Cape,,127597,1710498245
Tukuyu,Tukuyu,-9.2496,33.64,Tanzania,TZ,TZA,Mbeya,,127570,1834960117
Wau,Wau,7.7,27.99,South Sudan,SS,SSD,Western Bahr el Ghazal,admin,127384,1728877501
Lafia,Lafia,8.4904,8.52,Nigeria,NG,NGA,Nasarawa,admin,127236,1566042542
Gafsa,Gafsa,34.4204,8.78,Tunisia,TN,TUN,Gafsa,admin,126803,1788454569
Songea,Songea,-10.68,35.65,Tanzania,TZ,TZA,Ruvuma,admin,126449,1834461509
Malanje,Malanje,-9.54,16.34,Angola,AO,AGO,Malanje,admin,125856,1024774947
Gashua,Gashua,12.8705,11.04,Nigeria,NG,NGA,Yobe,minor,125817,1566925429
Lubango,Lubango,-14.91,13.49,Angola,AO,AGO,Huíla,,125632,1024906558
Kumbo,Kumbo,6.2204,10.68,Cameroon,CM,CMR,North-West,,125486,1120679288
Ghardaia,Ghardaia,32.49,3.67,Algeria,DZ,DZA,Ghardaïa,admin,125480,1012074690
Potchefstroom,Potchefstroom,-26.6996,27.1,South Africa,ZA,ZAF,North West,,123669,1710838885
Guelma,Guelma,36.466,7.428,Algeria,DZ,DZA,Guelma,admin,123590,1012266321
Gagnoa,Gagnoa,6.1504,-5.88,Côte D’Ivoire,CI,CIV,Gôh-Djiboua,admin,123184,1384138010
Ségou,Segou,13.44,-6.26,Mali,ML,MLI,Ségou,admin,122952,1466684950
Brits,Brits,-25.6296,27.78,South Africa,ZA,ZAF,North West,,122497,1710468143
Manbij,Manbij,36.5266,37.9563,Syria,SY,SYR,Ḩalab,minor,120169,1760355581
Larache,Larache,35.2004,-6.16,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,120082,1504637172
Maxixe,Maxixe,-23.866,35.3886,Mozambique,MZ,MOZ,Inhambane,,119868,1508002342
Bandundu,Bandundu,-3.31,17.38,Congo (Kinshasa),CD,COD,Kwilu,,118211,1180219776
Bama,Bama,11.5204,13.69,Nigeria,NG,NGA,Borno,minor,118121,1566590565
Sokodé,Sokode,8.9905,1.15,Togo,TG,TGO,Centrale,admin,117811,1768875145
Agadez,Agadez,16.9959,7.9828,Niger,NE,NER,Agadez,admin,117770,1562789067
Jalingo,Jalingo,8.9004,11.36,Nigeria,NG,NGA,Taraba,admin,117757,1566732241
Nkongsamba,Nkongsamba,4.9604,9.94,Cameroon,CM,CMR,Littoral,,117063,1120972098
Kindia,Kindia,10.06,-12.87,Guinea,GN,GIN,Kindia,admin,117062,1324348910
Gao,Gao,16.2666,-0.05,Mali,ML,MLI,Gao,admin,116967,1466571211
Port-Gentil,Port-Gentil,-0.72,8.78,Gabon,GA,GAB,Ogooué-Maritime,admin,116836,1266383028
Boké,Boke,10.94,-14.3,Guinea,GN,GIN,Boké,admin,116270,1324037897
Tahoua,Tahoua,14.9,5.2599,Niger,NE,NER,Tahoua,admin,115956,1562214493
Inhambane,Inhambane,-23.858,35.3398,Mozambique,MZ,MOZ,Inhambane,admin,115776,1508945412
Toliara,Toliara,-23.3568,43.69,Madagascar,MG,MDG,Toliara,admin,115319,1450593748
Goulimine,Goulimine,28.98,-10.07,Morocco,MA,MAR,Guelmim-Oued Noun,admin,115267,1504110861
Nabeul,Nabeul,36.4603,10.73,Tunisia,TN,TUN,Nabeul,admin,115149,1788902612
Giyon,Giyon,8.5304,37.97,Ethiopia,ET,ETH,Oromīya,,114534,1231961383
Shashemene,Shashemene,7.2004,38.59,Ethiopia,ET,ETH,Oromīya,,114350,1231110370
Kuito,Kuito,-12.38,16.94,Angola,AO,AGO,Bié,admin,114286,1024939858
Kankan,Kankan,10.39,-9.31,Guinea,GN,GIN,Kankan,admin,114009,1324495325
Laghouat,Laghouat,33.81,2.88,Algeria,DZ,DZA,Laghouat,admin,113872,1012233848
Praia,Praia,14.9167,-23.5167,Cabo Verde,CV,CPV,Praia,primary,113364,1132398770
Kipushi,Kipushi,-11.7596,27.25,Congo (Kinshasa),CD,COD,Haut-Katanga,,113347,1180810333
Juba,Juba,4.83,31.58,South Sudan,SS,SSD,Central Equatoria,primary,111975,1728444337
Iringa,Iringa,-7.7696,35.69,Tanzania,TZ,TZA,Iringa,admin,111820,1834453478
Jawhar,Jawhar,2.767,45.5166,Somalia,SO,SOM,Shabeellaha Dhexe,admin,111308,1706737655
Nsukka,Nsukka,6.867,7.3834,Nigeria,NG,NGA,Enugu,minor,111017,1566882360
Nguru,Nguru,12.8804,10.45,Nigeria,NG,NGA,Yobe,minor,111014,1566737779
Pemba,Pemba,-12.983,40.5323,Mozambique,MZ,MOZ,Cabo Delgado,admin,110643,1508872233
